bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
2,1,2018,4,4,50000,1,2018,18,5,0,5.5
2,1,2019,4,0,98000,1,2019,22,5,0,6.5
2,1,2017,4,0,47000,0,2017,18,5,0,7.75
8,1,2019,4,4,70000,1,2019,17,6,0,9.0
2,1,2020,4,0,16998,1,2020,22,5,0,4.08
2,1,2017,4,5,15256,0,2017,18,4,0,6.42
8,1,2019,4,4,70000,1,2019,17,6,0,9.0
2,1,2020,4,0,4495,0,2020,22,5,0,5.21
4,1,2020,4,4,34561,1,2020,20,5,0,6.95
2,2,2018,4,4,40000,1,2018,23,5,0,3.9
2,1,2016,4,5,142135,1,2016,23,5,0,4.29
8,1,2021,4,4,120000,1,2021,18,5,0,5.2
2,1,2019,4,0,9553,0,2019,20,5,0,6.25
2,1,2022,4,4,7600,1,2022,21,5,0,6.01
7,1,2017,1,4,120000,1,2017,17,6,0,13.0
2,1,2017,4,4,20000,0,2017,18,4,0,6.45
7,2,2013,1,0,120000,0,2013,12,8,0,19.75
2,1,2016,4,0,45578,1,2016,18,5,0,6.95
8,1,2013,4,4,100000,1,2013,14,6,0,5.0
8,2,2014,1,4,100000,0,2014,22,8,0,16.44
7,1,2019,4,4,42000,1,2019,17,5,0,8.95
2,2,2013,4,0,90000,1,2013,20,5,0,3.5
8,1,2012,1,0,70000,1,2012,22,6,0,5.5
7,3,2010,1,4,100000,0,2010,11,5,0,7.5
2,1,2017,4,0,16306,1,2017,20,5,0,5.81
2,3,2020,4,4,25086,1,2020,20,5,0,5.13
2,1,2017,4,0,54845,1,2017,21,5,0,6.5
2,1,2020,1,4,35642,1,2020,24,5,0,8.06
2,1,2016,4,0,22173,0,2016,21,5,0,7.25
8,1,2018,1,4,50000,0,2018,17,8,0,49.5
2,1,2014,4,4,67790,1,2014,18,5,0,4.26
2,1,2019,4,4,38000,1,2019,23,5,0,4.85
2,2,2012,4,4,49713,1,2012,19,5,0,3.51
2,1,2021,4,0,10002,1,2021,21,5,0,4.9
7,1,2017,1,4,46706,1,2017,16,6,0,14.95
2,2,2014,1,4,90000,1,2014,25,5,0,5.1
7,1,2016,1,0,106000,0,2016,18,8,0,27.5
2,1,2017,4,0,55833,0,2017,17,7,0,10.25
7,2,2015,1,0,46716,0,2015,15,7,0,23.45
8,1,2016,1,4,54000,1,2016,21,5,0,8.25
7,2,2016,1,4,68000,1,2016,21,5,0,6.75
2,3,2010,1,0,113348,1,2010,20,5,0,1.9
8,1,2014,1,0,134000,0,2014,17,8,0,8.9
7,1,2022,4,4,20000,0,2022,19,5,0,8.23
2,1,2014,4,4,52311,1,2014,22,5,0,5.54
8,1,2014,4,4,59514,1,2014,22,5,0,4.99
7,1,2022,4,4,10000,0,2022,19,5,0,8.15
2,1,2020,4,4,36743,1,2020,21,5,0,7.19
2,1,2015,4,0,83046,1,2015,25,5,0,3.72
2,1,2018,4,4,10000,0,2018,23,5,0,5.15
2,2,2016,4,4,59420,1,2016,18,5,0,5.54
8,1,2023,4,4,4545,1,2023,20,5,0,7.0
2,1,2011,4,4,70404,1,2011,22,5,0,4.1
8,1,2016,4,4,39725,1,2016,20,5,0,6.85
8,1,2022,4,4,10000,0,2022,16,8,0,55.0
7,1,2022,1,4,10000,0,2022,17,6,0,18.0
2,2,2006,4,4,60000,1,2006,18,5,0,1.8
7,2,2018,4,4,50000,1,2018,17,5,0,7.65
7,1,2023,4,0,10000,1,2023,13,6,0,19.5
8,3,2013,4,4,50000,1,2013,16,6,0,4.91
7,1,2021,1,4,23272,1,2021,21,5,0,11.75
7,1,2020,4,0,8407,1,2020,15,5,0,9.99
2,1,2018,4,4,50000,0,2018,21,5,0,7.15
8,1,2018,1,4,10000,0,2018,18,7,0,34.0
7,1,2021,4,0,14881,0,2021,19,7,0,17.79
2,1,2012,4,4,54305,1,2012,18,5,0,4.04
2,2,2016,4,4,50000,1,2016,19,5,0,3.58
2,1,2017,4,4,64998,0,2017,20,5,0,5.81
2,1,2015,4,4,75940,1,2015,18,5,0,6.3
2,1,2016,4,0,25639,1,2016,18,5,0,5.6
7,1,2019,1,0,44107,1,2019,15,6,0,15.51
8,2,2014,4,4,60000,1,2014,17,5,0,5.25
2,1,2018,4,0,41594,1,2018,23,5,0,5.01
2,2,2020,4,0,24786,0,2020,20,5,0,6.17
2,1,2017,4,4,56000,1,2017,23,5,0,3.65
8,1,2018,4,0,90000,0,2018,18,5,0,9.95
2,2,2019,4,4,31000,1,2019,18,5,0,7.75
7,2,2018,1,0,30000,0,2018,16,8,0,47.0
