bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
SUV,1,2017,₹ 5.50 Lakh,Petrol,Comprehensive,68000 Kms,Manual,2018.0,15.9 kmpl,5 Speed,Delhi
Sedan,1,2014,₹ 3.90 Lakh,Petrol,Comprehensive,68000 Kms,Manual,2018.0,19.1 kmpl,5 Speed,Delhi
Hatchback,1,2015,₹ 3.95 Lakh,Petrol,Comprehensive,38000 Kms,Manual,2017.0,21.21 kmpl,5,Delhi
Hatchback,1,2017,₹ 2.95 Lakh,Petrol,Comprehensive,39000 Kms,Manual,2014.0,23.01 kmpl,5 Speed,Delhi
Hatchback,1,2017,₹ 5.99 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2018.0,16.2 kmpl,5 Speed,Delhi
SUV,1,2020,₹ 17.49 Lakh,Petrol,Comprehensive,18000 Kms,Automatic,2013.0,11.67 kmpl,6-speed DCT,Delhi
Hatchback,1,2019,₹ 3.99 Lakh,Petrol,Comprehensive,60000 Kms,Automatic,2019.0,20.51 kmpl,5 Speed,Delhi
Sedan,1,2018,₹ 4.49 Lakh,Diesel,Zero Dep,40000 Kms,Manual,2017.0,25.83 kmpl,5 Speed,Delhi
Hatchback,1,2018,₹ 3 Lakh,Petrol,Third Party,68000 Kms,Manual,2018.0,23.95 kmpl,5 Speed,Delhi
Hatchback,2,2017,₹ 4.49 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2017.0,20.89 kmpl,5 Speed,Delhi
Hatchback,1,2014,₹ 2.95 Lakh,Petrol,Comprehensive,37000 Kms,Manual,2017.0,21.79 kmpl,5 Speed,Delhi
Sedan,1,2018,₹ 6.49 Lakh,Petrol,Zero Dep,21912 Kms,Automatic,2013.0,21.21 kmpl,5 Speed,Delhi
Hatchback,1,2013,₹ 2.74 Lakh,Petrol,Third Party,74564 Kms,Manual,2022.0,20.36 kmpl,5 Speed,Delhi
Hatchback,1,2019,₹ 3.75 Lakh,Petrol,Comprehensive,48000 Kms,Manual,2018.0,24.7 kmpl,5 Speed,Delhi
Sedan,1,2017,₹ 8.01 Lakh,Petrol,Third Party,96758 Kms,Automatic,2017.0,18 kmpl,5 Speed CVT,Delhi
