bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
SUV,1,2018,Petrol,Third Party insurance,55702,Automatic,2018,14,6,Bangalore,8.44
Hatchback,1,2016,Diesel,Zero Depreciation,45046,Manual,2016,21,6,Bangalore,7.64
Hatchback,2,2014,Petrol,Third Party insurance,53000,Manual,2014,18,5,Bangalore,4.2
Hatchback,1,2016,Diesel,Comprehensive,94695,Manual,2016,27,5,Bangalore,6.84
Hatchback,1,2019,Petrol,Third Party insurance,22162,Manual,2019,21,5,Bangalore,8.03
Hatchback,2,2010,Petrol,Comprehensive,70000,Manual,2010,17,5,Bangalore,3.2
Sedan,1,2017,Diesel,Comprehensive,115331,Manual,2017,26,6,Bangalore,8.04
Sedan,2,2013,Diesel,Third Party insurance,70000,Automatic,2013,10,5,Bangalore,14.0
Hatchback,2,2016,Petrol,Comprehensive,42233,Manual,2016,22,5,Bangalore,5.48
Hatchback,1,2019,Petrol,Third Party insurance,20941,Manual,2019,18,5,Bangalore,6.19
SUV,2,2018,Diesel,Comprehensive,50000,Manual,2018,24,5,Bangalore,10.0
SUV,1,2018,Petrol,Comprehensive,46602,Manual,2018,17,5,Bangalore,8.65
SUV,2,2014,Diesel,Third Party insurance,50000,Automatic,2014,11,5,Bangalore,10.0
Hatchback,2,2014,Diesel,Third Party insurance,104000,Manual,2014,25,5,Bangalore,5.35
SUV,1,2018,Diesel,Comprehensive,90000,Manual,2018,23,5,Bangalore,9.75
Hatchback,1,2017,Petrol,Third Party insurance,50035,Manual,2017,21,5,Bangalore,6.99
SUV,1,2021,Petrol,Third Party insurance,80000,Manual,2021,17,6,Bangalore,11.5
Hatchback,2,2015,Petrol,Third Party insurance,90000,Manual,2015,18,5,Bangalore,6.25
Sedan,4,2011,Diesel,Comprehensive,90000,Automatic,2011,14,5,Bangalore,10.0
Sedan,1,2011,Diesel,Third Party insurance,120000,Manual,2011,21,6,Bangalore,6.0
Sedan,1,2015,Petrol,Zero Depreciation,25170,Manual,2015,22,5,Bangalore,6.75
Sedan,1,2021,Petrol,Zero Depreciation,25022,Manual,2021,20,5,Bangalore,8.93
Hatchback,2,2012,Diesel,Third Party insurance,100000,Manual,2012,22,5,Bangalore,4.2
